active_networks,collateral,delegated_stake,delegator_type,label,opted_in_operators,slasher_type,tvl,utilization,vault,whitelisted
1,wstETH,13344.853126057607,OperatorSpecificDelegator,Public,2,VetoSlasher,13627.1,0.979287825440307,0x3bf5c2aefde8f3cfb8041d121b6e63d72fd28abf,False
0,MANTA,0,OperatorSpecificDelegator,Public,0,VetoSlasher,11759.3,0,0xcbc2e0f197bdaa714928db4bba9c464e476844d7,False
0,MANTA,0,OperatorSpecificDelegator,Public,0,VetoSlasher,9310.2,0,0x5f5b800af92c5b939c35ca67e5fb2946d12239f0,False
2,WBTC,16604.0932742048,OperatorSpecificDelegator,Public,3,VetoSlasher,8431.7,1.969246210634249,0x4b873da454d038b10a87eb196bdbcd43e28b3012,False
3,rsM-BTC-OFT,21083.547089587482,NetworkRestakeDelegator,Mellow,5,VetoSlasher,7135.2,2.954864206972122,0x72926d99c913dede6c7d92ddf125ba781b0e901c,True
1,rETH,6557.160875394704,NetworkRestakeDelegator,Public,7,VetoSlasher,6698,0.9789729584047034,0xd25f31806de8d608d05dfeaeb1140c1d365864b3,False
1,WETH,6242.290999999999,NetworkRestakeDelegator,Public,11,VetoSlasher,6374.9,0.9791982619335204,0xe4036ccac852faa1f1c00e38b426f6abbd911996,False
0,sfrxETH,0,NetworkRestakeDelegator,Public,3,VetoSlasher,3471,0,0x3b512427ca6345e67101eccb78d9c8508714818c,False
1,wstETH,3342.155459251962,OperatorNetworkSpecificDelegator,Other,1,VetoSlasher,3412.8,0.979300122846918,0xa034973a69ce1534b8c368802a78d4fc4fec5314,False
1,wstETH,3086.376457814216,NetworkRestakeDelegator,Mellow,1,VetoSlasher,3151.7,0.979273553261483,0xba91473072ebd125c3cb8d251fd02bf21fdea8df,True
1,wstETH,2779.431243076434,OperatorNetworkSpecificDelegator,Public,1,VetoSlasher,2838.2,0.979293651989442,0xf9694c9d4c97ef37febb785925284f227cf03d6a,False
1,MANTA,2668.847052156313,OperatorSpecificDelegator,Public,1,VetoSlasher,2670.6,0.999343612729841,0x56fbf789e8d434f0cc8178b254dac337a24c2b2f,False
3,WBTC,7646.256538596,OperatorSpecificDelegator,Public,3,VetoSlasher,2588.6,2.953819260834428,0x0db67d60d98cf8d27c8720110c7793929f091cc2,False
0,wstETH,0,NetworkRestakeDelegator,Mellow,0,VetoSlasher,2290.5,0,0x575d6dd4ea8636e08952bd7f8af977081754b1b7,True
3,wstETH,2815.447493208155,OperatorSpecificDelegator,Public,1,VetoSlasher,958.3,2.9379604437108995,0x369d807c75a37279d26adeb2deed1a8491283be4,False
0,wstETH,0,NetworkRestakeDelegator,Public,1,VetoSlasher,652.4,0,0xac4fb86ac6aaf3b2e4bdb7f26567e35e0467b9f5,False
1,MANTA,469.4555527571069,OperatorSpecificDelegator,Public,1,VetoSlasher,469.8,0.9992668215349231,0xdbbeed449aba85bc9afce64ade9954074697c843,False
1,wstETH,456.8081525840079,OperatorNetworkSpecificDelegator,Public,1,VetoSlasher,466.5,0.9792243356570374,0x4b0b5106edecfbda379c323eb626966984135d9e,True
1,MANTA,365.9504658011787,OperatorSpecificDelegator,Public,1,VetoSlasher,366.2,0.9993185849294887,0x2e0a32d30bcabf01a849adde10ce1e28665f04b2,False
1,MANTA,341.0952911011512,OperatorSpecificDelegator,Public,1,VetoSlasher,341.3,0.999400208324498,0xbf624ec4dd4a52ca613b5713c97dbd71c39eaae2,False
0,wstETH,0,OperatorSpecificDelegator,Other,1,VetoSlasher,318.5,0,0x2251830aed5579c2745aa0b14c99f5a941bf5eff,False
1,wstETH,306.8698139372682,OperatorNetworkSpecificDelegator,Other,1,VetoSlasher,313.4,0.9791634139670332,0xd043e748d94b7a2f1b486f377aebffbb22dc2700,True
